Array	ID_Euryarchaeota_motif_4_1	ID_Euryarchaeota_motif_4_1_pvalue
Random_seq_1	73	0.372503285746
Random_seq_102	18	0.428997068748
Random_seq_113	170	0.385929047357
Random_seq_134	131	0.374379897139
Random_seq_137	55	0.453057460284
Random_seq_149	145	0.386810859617
Random_seq_175	117	0.512187792245
Random_seq_177	114	0.406108895427
Random_seq_27	28	0.39133491891
Random_seq_314	133	0.454625643073
Random_seq_336	180	0.399325451515
Random_seq_346	121	0.407574410103
Random_seq_348	142	0.389897913051
Random_seq_43	132	0.384277057511
Random_seq_452	56	0.37929575969
Random_seq_456	67	0.405822081317
Random_seq_479	29	0.421734765335
Random_seq_498	94	0.404880514831
Random_seq_518	131	0.396206122152
Random_seq_533	175	0.379592792083
Random_seq_548	130	0.398443288257
Random_seq_557	181	0.408175872198
Random_seq_589	170	0.375218074081
Random_seq_593	112	0.39561021906
Random_seq_613	140	0.412097484266
Random_seq_703	86	0.420208698863
Random_seq_723	99	0.385409076114
Random_seq_774	98	0.424213132533
Random_seq_811	182	0.410568409305
Random_seq_822	38	0.398761844954
Random_seq_839	57	0.402530684365
Random_seq_883	91	0.427993766826
Random_seq_950	186	0.402268160881
Random_seq_99	69	0.375486424988
