Array	IC_Pseudomonadota_motif_4_1	IC_Pseudomonadota_motif_4_1_pvalue
Random_seq_204	100	0.587220817759
Random_seq_247	28	0.56248371134
Random_seq_341	79	0.620775069225
Random_seq_385	39	0.643989137078
Random_seq_400	104	0.635092318091
Random_seq_409	6	0.655724411009
Random_seq_42	71	0.597605578385
Random_seq_422	34	0.561047508755
Random_seq_441	132	0.587613261831
Random_seq_518	146	0.645377844988
Random_seq_522	65	0.571527757933
Random_seq_53	157	0.622891657591
Random_seq_582	34	0.615901537757
Random_seq_587	163	0.577289492706
Random_seq_632	148	0.552880317958
Random_seq_699	66	0.608520693972
Random_seq_715	68	0.724844877995
Random_seq_717	144	0.732698637252
Random_seq_824	43	0.558276457933
Random_seq_928	10	0.556473491863
