Array	IE_Pseudomonadota_motif_5_1	IE_Pseudomonadota_motif_5_1_pvalue
Random_seq_151	37	0.28888690359
Random_seq_224	19	0.310141700579
Random_seq_244	179	0.281793607895
Random_seq_296	27	0.353384657482
Random_seq_30	176	0.262590988526
Random_seq_32	93	0.292351803916
Random_seq_333	167	0.29475640878
Random_seq_348	161	0.30686862078
Random_seq_410	146	0.268357865271
Random_seq_468	103	0.272770728405
Random_seq_496	71	0.287534494082
Random_seq_623	61	0.285224270749
Random_seq_64	29	0.270057523885
Random_seq_65	180	0.291001941098
Random_seq_652	61	0.322334131583
Random_seq_663	175	0.27447529524
Random_seq_678	121	0.271777738661
Random_seq_694	72	0.283423075494
Random_seq_705	178	0.2666071373
Random_seq_713	108	0.282891300934
Random_seq_768	172	0.260854452681
Random_seq_790	63	0.262209738729
Random_seq_816	179	0.261248123778
Random_seq_861	24	0.315477036076
Random_seq_881	79	0.278623010475
Random_seq_889	140	0.263867010781
Random_seq_893	161	0.282304835465
