Array	IB_Cyanobacteriota_motif_2_1	IB_Cyanobacteriota_motif_2_1_pvalue
Random_seq_119	39	0.885800689079
Random_seq_207	42	0.687051012765
Random_seq_211	29	0.710138338067
Random_seq_233	32	0.637835484047
Random_seq_309	6	0.665679043821
Random_seq_369	47	0.654239962654
Random_seq_482	82	0.630695183418
Random_seq_505	45	0.65887436578
Random_seq_524	114	0.60425947742
Random_seq_539	189	0.613782785199
Random_seq_553	157	0.649196891553
Random_seq_625	167	0.67645967533
Random_seq_626	112	0.65887436578
Random_seq_635	93	0.65887436578
Random_seq_640	51	0.606586588225
Random_seq_732	108	0.678893601987
Random_seq_734	190	0.690732467423
Random_seq_838	32	0.633435420651
Random_seq_844	152	0.613782785199
Random_seq_88	91	0.685037394483
Random_seq_920	91	0.756399458273
Random_seq_921	100	0.638195895626
