Array	VK_Cyanobacteriota_motif_3_1	VK_Cyanobacteriota_motif_3_1_pvalue
Random_seq_171	50	0.499769317502
Random_seq_193	59	0.455731108914
Random_seq_279	131	0.458540736181
Random_seq_327	136	0.432403333516
Random_seq_340	36	0.476737833643
Random_seq_360	34	0.472505947347
Random_seq_423	28	0.474309952976
Random_seq_494	136	0.67805954998
Random_seq_525	124	0.432403333516
Random_seq_542	135	0.447093279723
Random_seq_643	156	0.498201235286
Random_seq_724	122	0.485560326618
Random_seq_781	88	0.442183471375
Random_seq_823	79	0.44887822128
Random_seq_889	92	0.484238693979
Random_seq_952	30	0.463988672174
