Array	ID_Euryarchaeota_motif_3_1	ID_Euryarchaeota_motif_3_1_pvalue
Random_seq_142	187	0.855831031102
Random_seq_181	193	0.855831031102
Random_seq_187	133	0.947183015087
Random_seq_249	37	0.844122778712
Random_seq_270	17	0.898693046812
Random_seq_397	42	0.844122778712
Random_seq_481	42	0.947183015087
Random_seq_490	164	0.898693046812
Random_seq_525	118	0.855831031102
Random_seq_526	30	0.844122778712
Random_seq_664	40	0.947183015087
Random_seq_686	158	0.844122778712
Random_seq_869	65	0.898693046812
Random_seq_955	118	0.844122778712
