Array	IC_Verrucomicrobiota_motif_4_1	IC_Verrucomicrobiota_motif_4_1_pvalue
Random_seq_10	105	0.458229076479
Random_seq_163	53	0.537898148786
Random_seq_183	25	0.474343694051
Random_seq_192	68	0.466472812346
Random_seq_247	171	0.458766438795
Random_seq_26	30	0.441899739604
Random_seq_301	49	0.515749308333
Random_seq_316	141	0.513863478902
Random_seq_32	125	0.450242750314
Random_seq_321	143	0.448730131652
Random_seq_326	124	0.533722206005
Random_seq_328	145	0.534727348149
Random_seq_39	92	0.451132597875
Random_seq_430	49	0.444883108334
Random_seq_535	76	0.534389580421
Random_seq_576	103	0.542955064276
Random_seq_581	164	0.474343694051
Random_seq_644	40	0.441720232525
Random_seq_650	77	0.440834196167
Random_seq_672	46	0.456915432279
Random_seq_720	61	0.50310245857
Random_seq_758	106	0.459862564268
Random_seq_759	110	0.489554412834
Random_seq_836	17	0.481510909683
Random_seq_853	20	0.466799899557
Random_seq_905	44	0.473178086921
Random_seq_964	113	0.499115826357
