Array	IB_Euryarchaeota_motif_4_1	IB_Euryarchaeota_motif_4_1_pvalue
Random_seq_110	23	0.545321586211
Random_seq_133	32	0.374029747464
Random_seq_245	70	0.364139646961
Random_seq_31	69	0.400080086045
Random_seq_315	142	0.355776122002
Random_seq_322	142	0.391844343632
Random_seq_371	163	0.411458817667
Random_seq_388	160	0.351246776532
Random_seq_417	156	0.391246633051
Random_seq_455	97	0.393539781752
Random_seq_509	39	0.347213010313
Random_seq_644	116	0.347078391969
Random_seq_684	51	0.352574171828
Random_seq_687	142	0.388670623511
Random_seq_831	174	0.353097695808
Random_seq_874	126	0.361136245472
