Array	IB_Euryarchaeota_motif_7_1	IB_Euryarchaeota_motif_7_1_pvalue
Random_seq_135	25	0.441396104659
Random_seq_203	140	0.488888848899
Random_seq_22	112	0.446005687285
Random_seq_260	173	0.51818520782
Random_seq_267	62	0.441735075238
Random_seq_357	170	0.467126647458
Random_seq_361	162	0.587756970559
Random_seq_38	113	0.490621175212
Random_seq_46	127	0.465878262917
Random_seq_518	60	0.444538612156
Random_seq_551	189	0.455693918935
Random_seq_557	44	0.484324654989
Random_seq_584	76	0.572984671455
Random_seq_613	190	0.49498894624
Random_seq_664	79	0.443408803666
Random_seq_695	152	0.463117956224
Random_seq_700	128	0.442133655476
Random_seq_746	162	0.482265768933
Random_seq_84	116	0.53709961231
Random_seq_913	85	0.60304328807
