Array	IC_Actinomycetota_motif_5_1	IC_Actinomycetota_motif_5_1_pvalue
Random_seq_127	19	0.821427719333
Random_seq_232	49	0.697670110528
Random_seq_307	60	0.697670110528
Random_seq_405	67	0.725556991059
Random_seq_45	50	0.717841232305
Random_seq_516	105	0.669839344416
Random_seq_524	188	0.688120502602
Random_seq_536	155	0.786582572561
Random_seq_722	71	0.671270634564
Random_seq_855	5	0.688811192356
Random_seq_931	74	0.832588698856
Random_seq_933	135	0.794320870704
Random_seq_942	182	0.802431425861
