Array	IC_Pseudomonadota_motif_5_1	IC_Pseudomonadota_motif_5_1_pvalue
Random_seq_22	113	1.0
Random_seq_240	54	1.0
Random_seq_249	74	1.0
Random_seq_25	48	1.0
Random_seq_333	60	1.0
Random_seq_380	67	1.0
Random_seq_4	151	1.0
Random_seq_482	61	1.0
Random_seq_524	188	1.0
Random_seq_542	82	1.0
Random_seq_550	92	1.0
Random_seq_557	30	1.0
Random_seq_584	182	1.0
Random_seq_587	74	1.0
Random_seq_591	165	1.0
Random_seq_635	97	1.0
Random_seq_737	185	1.0
Random_seq_772	87	1.0
Random_seq_884	15	1.0
Random_seq_951	71	1.0
