Array	IB_Euryarchaeota_motif_8_1	IB_Euryarchaeota_motif_8_1_pvalue
Random_seq_108	166	0.75147179464
Random_seq_173	81	0.460678239272
Random_seq_192	162	0.490613025503
Random_seq_236	145	0.43074436411
Random_seq_28	156	0.40910589015
Random_seq_334	163	0.477095768904
Random_seq_34	21	0.481680292711
Random_seq_368	130	0.438252401702
Random_seq_39	151	0.407645541949
Random_seq_453	187	0.467291440276
Random_seq_490	69	0.448833541965
Random_seq_808	130	0.438487475648
Random_seq_814	93	0.403177201277
Random_seq_934	43	0.405516862852
Random_seq_935	167	0.402255667064
Random_seq_939	123	0.439561545625
Random_seq_967	150	0.412440874971
Random_seq_97	125	0.513736453852
