Array	IB_Cyanobacteriota_motif_1_1	IB_Cyanobacteriota_motif_1_1_pvalue
Random_seq_265	58	0.731873620293
Random_seq_266	70	0.79080740633
Random_seq_322	41	0.860748674042
Random_seq_566	140	0.720903692881
Random_seq_673	44	0.733879452433
Random_seq_711	22	0.720903692881
Random_seq_773	70	0.682172738146
Random_seq_823	190	0.731873620293
Random_seq_840	190	0.743554095892
Random_seq_879	47	0.731873620293
Random_seq_882	193	0.675925456811
Random_seq_9	124	0.770705166259
Random_seq_960	157	0.691963909833
