Array	IIID_Pseudomonadota_motif_1_1	IIID_Pseudomonadota_motif_1_1_pvalue
Random_seq_201	15	0.677621501001
Random_seq_23	9	0.589038137341
Random_seq_254	93	0.61994157852
Random_seq_274	136	0.603140126865
Random_seq_28	137	0.845694810868
Random_seq_301	49	0.659409528123
Random_seq_307	50	0.588415947571
Random_seq_356	22	0.66596215565
Random_seq_402	169	0.578882874712
Random_seq_468	68	0.565900981292
Random_seq_49	62	0.702564740618
Random_seq_524	97	0.708570327587
Random_seq_55	157	0.59014337713
Random_seq_555	18	0.603140126865
Random_seq_566	125	0.57544612912
Random_seq_610	20	0.577202581208
Random_seq_692	50	0.581842884658
Random_seq_694	48	0.691045561902
Random_seq_755	135	0.56414744474
Random_seq_788	186	0.640984236355
Random_seq_810	147	0.570931715905
Random_seq_822	147	0.644554913821
Random_seq_823	89	0.572085905221
Random_seq_826	141	0.632088579507
Random_seq_888	190	0.568034590007
Random_seq_960	188	0.600600976011
Random_seq_961	13	0.548571047125
Random_seq_982	105	0.595659436857
