Array	IB_Bacillota_motif_8_1	IB_Bacillota_motif_8_1_pvalue
Random_seq_124	138	0.440933360085
Random_seq_171	74	0.438276083712
Random_seq_201	163	0.425083911369
Random_seq_202	42	0.460248365512
Random_seq_217	82	0.399750351832
Random_seq_269	144	0.405266716623
Random_seq_386	158	0.407474436943
Random_seq_474	51	0.400049949169
Random_seq_483	43	0.454856577539
Random_seq_513	145	0.402260888872
Random_seq_568	8	0.404928333514
Random_seq_584	110	0.407773614379
Random_seq_624	182	0.415810306965
Random_seq_659	82	0.427112875894
Random_seq_740	55	0.437305759094
Random_seq_855	70	0.397426379748
Random_seq_859	74	0.402260888872
Random_seq_864	159	0.403437948138
Random_seq_87	19	0.397144580405
Random_seq_892	153	0.441990812173
Random_seq_893	51	0.450721821631
Random_seq_903	66	0.435659014358
Random_seq_931	101	0.442665272416
