Array	IG_Actinomycetota_motif_2_1	IG_Actinomycetota_motif_2_1_pvalue
Random_seq_166	22	0.78156798633
Random_seq_171	137	0.741136506007
Random_seq_189	58	0.716684255449
Random_seq_200	161	0.879888182894
Random_seq_201	62	0.762188559391
Random_seq_213	30	0.786321362612
Random_seq_242	60	0.936325364064
Random_seq_246	73	0.80508134934
Random_seq_262	158	0.832538317445
Random_seq_271	140	0.771120228347
Random_seq_276	39	0.856101971685
Random_seq_301	157	0.903668956879
Random_seq_355	118	0.747027827443
Random_seq_36	189	0.807902632687
Random_seq_4	63	0.784204069892
Random_seq_403	56	0.874742745325
Random_seq_427	106	0.903668956879
Random_seq_475	77	0.713522060499
Random_seq_476	16	0.903668956879
Random_seq_531	192	0.836664030367
Random_seq_577	51	0.726524582578
Random_seq_615	105	0.793063243812
Random_seq_633	18	0.729310183418
Random_seq_667	83	0.799010334933
Random_seq_685	72	0.747027827443
Random_seq_850	101	0.711041832471
Random_seq_887	121	0.763529060597
Random_seq_92	161	0.732500633279
Random_seq_976	158	0.839758580552
