Array	IF_Pseudomonadota_motif_6_1	IF_Pseudomonadota_motif_6_1_pvalue
Random_seq_120	112	0.327524005517
Random_seq_123	49	0.307434556165
Random_seq_128	18	0.309803402599
Random_seq_198	138	0.369393076047
Random_seq_231	147	0.297992396166
Random_seq_310	50	0.29772066216
Random_seq_321	32	0.288805493198
Random_seq_344	63	0.333614952368
Random_seq_350	155	0.308628420092
Random_seq_378	70	0.305348668505
Random_seq_391	64	0.30285746359
Random_seq_403	116	0.289180016771
Random_seq_409	24	0.36291666005
Random_seq_432	171	0.286711695148
Random_seq_451	179	0.380101272162
Random_seq_457	70	0.296224177528
Random_seq_500	180	0.367123051308
Random_seq_550	155	0.293510162243
Random_seq_564	162	0.323243333655
Random_seq_589	29	0.304161209702
Random_seq_651	67	0.310955458173
Random_seq_672	173	0.301402506121
Random_seq_705	172	0.307558087368
Random_seq_731	40	0.304664573565
Random_seq_791	42	0.431576075743
Random_seq_837	167	0.287806434234
Random_seq_849	35	0.290653044773
Random_seq_852	123	0.296700491558
Random_seq_885	162	0.367804022276
Random_seq_898	143	0.289628536205
Random_seq_90	118	0.307434556165
Random_seq_904	91	0.368019923468
Random_seq_911	120	0.352279828661
Random_seq_930	69	0.305464163272
Random_seq_955	34	0.293313900967
