Array	IVA_Pseudomonadota_motif_1_1	IVA_Pseudomonadota_motif_1_1_pvalue
Random_seq_123	151	0.882495920833
Random_seq_153	76	0.864453668796
Random_seq_158	95	0.990779582399
Random_seq_163	153	0.864453668796
Random_seq_172	98	1.10651279518
Random_seq_178	134	0.980840595194
Random_seq_213	134	0.958732502338
Random_seq_277	118	1.0426749304
Random_seq_30	16	1.21247807104
Random_seq_308	157	0.864453668796
Random_seq_315	44	0.841304663804
Random_seq_422	71	1.11811049106
Random_seq_425	177	0.844542250477
Random_seq_426	38	0.925122933539
Random_seq_54	150	0.913085747132
Random_seq_548	119	0.878584255456
Random_seq_577	141	0.869419322974
Random_seq_689	65	1.05520565344
Random_seq_785	157	0.88842541171
Random_seq_82	33	1.13488949323
Random_seq_883	15	0.905351328938
Random_seq_886	126	0.943742000962
Random_seq_918	36	0.910195184119
Random_seq_948	192	0.860697961016
