Array	IE_Pseudomonadota_motif_1_1	IE_Pseudomonadota_motif_1_1_pvalue
Random_seq_112	116	0.337822138263
Random_seq_117	135	0.356912151089
Random_seq_122	116	0.349563836094
Random_seq_201	167	0.325755404902
Random_seq_206	87	0.324120902429
Random_seq_211	83	0.323592665045
Random_seq_213	139	0.417872602075
Random_seq_237	162	0.396807086525
Random_seq_238	71	0.363542171011
Random_seq_242	123	0.446509712501
Random_seq_265	141	0.395604794956
Random_seq_307	79	0.41930044292
Random_seq_314	48	0.332991271411
Random_seq_316	110	0.339851314442
Random_seq_328	119	0.338389952124
Random_seq_332	144	0.333138683895
Random_seq_337	169	0.335270710573
Random_seq_379	60	0.35779980018
Random_seq_390	22	0.348400335444
Random_seq_416	115	0.32370518693
Random_seq_422	27	0.389894608225
Random_seq_441	28	0.372337413816
Random_seq_444	160	0.403495218527
Random_seq_465	115	0.388421304478
Random_seq_477	131	0.360391111441
Random_seq_488	93	0.401796011292
Random_seq_49	101	0.327849045091
Random_seq_495	93	0.337430100393
Random_seq_496	95	0.462540992991
Random_seq_519	82	0.359435900993
Random_seq_534	140	0.345756821137
Random_seq_541	150	0.364376539048
Random_seq_553	112	0.346040839004
Random_seq_575	41	0.329362246048
Random_seq_585	166	0.343697383867
Random_seq_590	174	0.353307202001
Random_seq_61	93	0.400344616354
Random_seq_613	170	0.34039276968
Random_seq_626	30	0.324388053164
Random_seq_69	16	0.341439045919
Random_seq_692	69	0.330759657433
Random_seq_7	138	0.357205530103
Random_seq_715	94	0.360391111441
Random_seq_762	96	0.435199872832
Random_seq_781	80	0.434113145874
Random_seq_786	163	0.410351518806
Random_seq_865	173	0.377209934467
Random_seq_867	41	0.334137692087
Random_seq_897	107	0.32370518693
Random_seq_903	158	0.337263424376
Random_seq_983	143	0.339554100363
