Array	IB_Thermoproteota_motif_1_1	IB_Thermoproteota_motif_1_1_pvalue
Random_seq_13	71	0.622763207984
Random_seq_138	70	0.613952657689
Random_seq_158	46	0.626685313913
Random_seq_196	20	0.624753422083
Random_seq_263	111	0.774779519745
Random_seq_273	143	0.694166168113
Random_seq_289	79	0.679359784584
Random_seq_297	87	0.892984627472
Random_seq_30	128	0.725087607648
Random_seq_327	40	0.729882793791
Random_seq_328	25	0.780041828647
Random_seq_364	43	0.624043849935
Random_seq_399	24	0.606483871002
Random_seq_4	38	0.608938955901
Random_seq_491	106	0.700112595203
Random_seq_5	70	0.984186173197
Random_seq_503	50	0.733140228132
Random_seq_660	75	0.657273270904
Random_seq_678	76	0.621507881375
Random_seq_696	186	0.64310230615
Random_seq_7	148	0.621507881375
Random_seq_720	89	0.633131618771
Random_seq_778	128	0.623458536607
Random_seq_84	97	0.662010114327
Random_seq_892	63	0.75379139595
Random_seq_904	153	0.606483871002
Random_seq_924	190	0.678522330077
