Array	IC_Pseudomonadota_motif_9_1	IC_Pseudomonadota_motif_9_1_pvalue
Random_seq_150	171	0.472895667241
Random_seq_235	14	0.425571731474
Random_seq_287	94	0.532122024585
Random_seq_31	47	0.508411585745
Random_seq_437	184	0.458441015734
Random_seq_577	51	0.435918781844
Random_seq_579	96	0.445700229681
Random_seq_630	147	0.433550511133
Random_seq_661	113	0.449458449629
Random_seq_855	38	0.440516043153
Random_seq_863	100	0.463690360157
Random_seq_902	118	0.430212412548
Random_seq_92	179	0.468989552167
