Array	IC_Pseudomonadota_motif_2_1	IC_Pseudomonadota_motif_2_1_pvalue
Random_seq_112	91	1.0
Random_seq_192	48	1.0
Random_seq_195	103	1.0
Random_seq_200	80	1.0
Random_seq_239	57	1.0
Random_seq_262	167	1.0
Random_seq_328	158	1.0
Random_seq_346	131	1.0
Random_seq_377	168	1.0
Random_seq_415	19	1.0
Random_seq_431	24	1.0
Random_seq_436	154	1.0
Random_seq_449	128	1.0
Random_seq_564	187	1.0
Random_seq_642	195	1.0
Random_seq_650	146	1.0
Random_seq_658	16	1.0
Random_seq_680	82	1.0
Random_seq_703	161	1.0
Random_seq_776	93	1.0
Random_seq_821	122	1.0
Random_seq_833	175	1.0
Random_seq_837	148	1.0
Random_seq_844	86	1.0
Random_seq_851	86	1.0
Random_seq_905	49	1.0
Random_seq_906	46	1.0
Random_seq_943	135	1.0
Random_seq_951	100	1.0
