Array	IB_Bacillota_motif_2_1	IB_Bacillota_motif_2_1_pvalue
Random_seq_170	11	0.737829751683
Random_seq_173	90	0.800150976942
Random_seq_288	144	0.782748502817
Random_seq_366	35	0.851637741752
Random_seq_520	43	0.753007470981
Random_seq_595	115	0.770811866165
Random_seq_614	136	0.678195508683
Random_seq_635	117	0.735968395731
Random_seq_649	94	0.820323235955
Random_seq_674	123	0.873090622452
Random_seq_787	34	0.681142327345
Random_seq_810	30	0.693901082445
Random_seq_814	102	0.716556974215
Random_seq_829	152	0.785650655806
Random_seq_852	156	0.714533386299
Random_seq_935	127	0.678195508683
