Array	IB_Bacillota_motif_4_1	IB_Bacillota_motif_4_1_pvalue
Random_seq_180	51	0.426420259296
Random_seq_186	148	0.43638836172
Random_seq_196	122	0.582653147363
Random_seq_374	35	0.535027300016
Random_seq_381	190	0.418867080597
Random_seq_461	169	0.499858098826
Random_seq_478	140	0.41925808009
Random_seq_554	174	0.419553758066
Random_seq_604	64	0.437743889222
Random_seq_655	146	0.400642760933
Random_seq_662	92	0.43283926934
Random_seq_736	50	0.408957067067
Random_seq_87	87	0.482032226486
Random_seq_877	114	0.401724409799
