Array	IE_Actinomycetota_motif_4_1	IE_Actinomycetota_motif_4_1_pvalue
Random_seq_119	98	0.490060642535
Random_seq_238	169	0.507884756415
Random_seq_240	184	0.53406585783
Random_seq_262	163	0.525086901562
Random_seq_299	32	0.52998886081
Random_seq_302	57	0.501791936693
Random_seq_319	123	0.483321649183
Random_seq_320	79	0.501791936693
Random_seq_322	137	0.512307535774
Random_seq_363	147	0.472405870331
Random_seq_37	29	0.501094557606
Random_seq_404	112	0.496679126534
Random_seq_413	165	0.525274000438
Random_seq_442	8	0.569758119651
Random_seq_483	166	0.541012284184
Random_seq_49	117	0.536588141345
Random_seq_498	157	0.527969888975
Random_seq_528	132	0.482919211229
Random_seq_53	52	0.475623876643
Random_seq_563	14	0.462808993969
Random_seq_593	10	0.496679126534
Random_seq_604	120	0.485977147445
Random_seq_612	84	0.492818241218
Random_seq_642	30	0.528567043321
Random_seq_655	78	0.526220172889
Random_seq_680	78	0.522185033067
Random_seq_697	110	0.545585030664
Random_seq_700	14	0.473389369512
Random_seq_707	63	0.471568919376
Random_seq_712	121	0.498727791003
Random_seq_732	91	0.469505378339
Random_seq_740	90	0.494407596234
Random_seq_81	8	0.487711645528
Random_seq_824	178	0.469689483626
Random_seq_825	26	0.53406585783
Random_seq_833	177	0.627846476875
Random_seq_878	176	0.474055980937
Random_seq_889	123	0.610548341623
Random_seq_893	26	0.559091341265
Random_seq_90	152	0.476461909679
Random_seq_909	180	0.511023470171
Random_seq_910	80	0.544196032994
